id,human_coherence,human_reasoning_coverage,human_risk_factors_enumerated,human_alternatives_considered
arc1,1,1,0,0
arc10,1,1,0,0
arc5,1,1,0,0
ex29,0.5,0.5,0,1
arc4,1,1,0,0
ex9,1,1,1,1
med7,1,1,1,0
arc6,1,1,0,1
med9,1,1,1,1
cf10,1,1,0,1
ex3,1,1,1,1
cf4,1,1,1,1
ex26,0.5,0.5,0,1
ex25,0.5,0.5,0,0
cf5,1,1,1,1
ex4,1,1,1,1
ex22,0.5,0.5,0,1
med3,1,1,1,1
arc7,1,1,0,0
ex7,1,1,1,1
ex8,1,1,1,1
med8,1,1,1,0
cf1,1,1,1,1
cf8,0.5,0.5,0,1
arc8,1,1,0,0
arc2,1,1,0,0
ex16,0,0,0,1
ex17,0,0,0,1
ex13,0,0,0,1
ex5,1,1,1,1
